"Code","Waarde","Omschrijving","Inwinningscriteria","DatumVanaf","DatumTot"
"1","drinkwaterbekken","Bassin t.b.v. de drinkwatervoorziening","","01-09-2014",""
"2","haven","Lig- en bergplaats voor vaartuigen","","01-09-2014",""
"3","natuurbad","Plas in de natuur, ingericht voor zwemmen en zonnebaden.","","01-09-2014",""
"4","viskwekerij","Bassin, aangelegd voor het kweken van vis.","","01-09-2014",""
"5","vistrap","Omleiding bij een stuw of een deel van een waterloop zodanig ingericht dat vissen stroomopwaarts kunnen passeren","","01-09-2014",""
"6","vloeiveld","Omdijkt stuk land, bestemd voor de bezinking van afvalwater.","","01-09-2014",""
"7","waterval","Plaats waar stromend water van een hoogte of helling naar beneden valt.","","01-09-2014",""
"8","waterzuivering","Zuivering van afvalwater.","","01-09-2014",""
"9","zwembad","De waterbak bij een zwembad","","01-09-2014",""
"10","overig","De waarde van het objectkenmerk is bekend, maar anders dan de genoemde waarden","","01-09-2014",""
