"Code","Waarde","Omschrijving","Inwinningscriteria","DatumVanaf","DatumTot"
"1","arboretum","Verzameling van verschillende soorten bomen","","01-09-2014","01-02-2019"
"2","attractiepark","Park ingericht voor vrijetijdsbesteding","","01-09-2014",""
"3","bedrijventerrein","Het geheel aan gebouwen en terreinen ten behoeve van bedrijven en industrie, inclusief toevoerwegen, tussengelegen water, etc.","","01-09-2014",""
"4","begraafplaats","Het geheel aan voorzieningen t.b.v. het begraven van overledenen","","01-09-2014",""
"5","boswachterij","Deel van een houtvesterij onder een boswachter","","01-09-2014",""
"73","botanische tuin","Verzameling van verschillende soorten planten en/of bomen","","01-02-2019",""
"6","bungalowpark","Oppervlak bebouwd met (luxe) vakantiehuisjes","","01-09-2014",""
"7","camping, kampeerterrein","Terrein met voorzieningen t.b.v. verblijfsrecreatie voornamelijk voor tenten en caravans","","01-09-2014",""
"8","campus","Een universiteitsterrein waarop gebouwen en voorzieningen voor zowel docenten als studenten aanwezig zijn","","01-09-2014",""
"9","caravanpark","Terrein met voorzieningen t.b.v. verblijfsrecreatie voornamelijk ingericht met stacaravans.","","01-09-2014",""
"10","circuit","Verhard terrein voor snelheidswedstrijden","","01-09-2014",""
"11","crossbaan","Onverhard terrein voor snelheidswedstrijden en hiervoor uitgerust met de nodige voorzieningen","","01-09-2014",""
"12","dierentuin, safaripark","Publieke tuin / park waarin een verzameling inheemse en uitheemse dieren is ondergebracht (dierentuin). / Groot park met wilde dieren, waar men met een auto kan rijden (safaripark)","","01-09-2014",""
"13","eendenkooi","Stuk land en water met een karakteristieke vorm, ingericht om wilde eenden te vangen","","01-09-2014",""
"14","emplacement","Het totaal aan sporen op een terrein ten behoeve van het rangeren en stallen van treinen","","01-09-2014",""
"15","erebegraafplaats","Begraafplaats voor gesneuvelde militairen","","01-09-2014",""
"16","gaswinning","Gebied met installatie(s) t.b.v. de winning of transport van aardgas","","01-09-2014",""
"17","gebied met hoge objecten","Gebied, waarbinnen zich meerdere hoge objecten bevinden","","01-09-2014",""
