"Code","Waarde","Omschrijving","Inwinningscriteria","DatumVanaf","DatumTot"
"1","bezoekerscentrum","Informatiecentrum in een culturele instelling, een natuurpark, enz.","","01-09-2014",""
"2","boortoren","Tijdelijke of permanente toren voor het verrichten van boorwerkzaamheden","","01-09-2014",""
"3","brandtoren","Toren t.b.v. het signaleren van een (bos)brand.","","01-09-2014",""
"4","brandweerkazerne","Gebouw voor het stationeren van materieel en manschappen t.b.v. brandbestrijding","","01-09-2014",""
"5","bunker","Versterkte (schuil)plaats te gebruiken in tijden van oorlog of ramp zowel voor burger- als militaire doeleinden. Kan ook (gedeeltelijk) ondergronds gelegen zijn.","","01-09-2014",""
"6","crematorium","Gebouw dat dient voor lijkverbranding.","","01-09-2014",""
"7","dok","Installatie voor onderhoud en herstel van schepen.","","01-09-2014",""
"8","elektriciteitscentrale","Gebouw waarin elektriciteit wordt opgewekt","","01-09-2014",""
"9","fabriek","Industriële onderneming waarin op grote schaal stoffen of goederen worden geproduceerd","","01-09-2014",""
"10","fort","Verdedigingswerk.","","01-09-2014",""
"11","gemaal","Installatie om water omhoog te pompen uit een polder of een kanaal.","","01-09-2014",""
"12","gemeentehuis","Gebouw waarin de gemeentelijke secretarie gevestigd is.","","01-09-2014",""
"13","gevangenis","Gebouwen waarin personen in verzekerde bewaring worden gesteld","","01-09-2014",""
"14","hotel","Gebouw ten behoeve van de overnachting van reizigers.","","01-09-2014",""
"15","huizenblok","Terrein, volledig of nagenoeg volledig bedekt met bebouwing (niet zijnde lintbebouwing of grote boerderijen met bijbehorende stallen), gelegen in stedelijk/verstedelijkt gebied, waarbij de bebouwing naar alle zijden aaneengesloten is en waar men vanaf de openbare weg van eventuele binnenplaatsen en -tuinen weinig of niets kan zien.","","01-09-2014",""
"16","kapel","Gebouwtje dat dient doet als bidruimte.","","01-09-2014",""
"17","kas, warenhuis","Voornamelijk uit glas opgebouwde overbouwing van de grond ten behoeve van landbouw","","01-09-2014",""
"18","kasteel","Versterkt gebouw ofburcht.","","01-09-2014",""
"19","kerk","Bebouwing bedoeld voor christelijke erediensten","","01-09-2014",""
"20","kerncentrale, kernreactor","Centrale die met kernenergie elektriciteit opwekt (kerncentrale) / Installatie voor het splijten of fuseren van atoomkernen, atoomreactor (kernreactor).","","01-09-2014",""
"21","kliniek, inrichting, sanatorium","Inrichting waar patiënten worden verpleegd (kliniek). / Herstellingsoord (sanatorium).","","01-09-2014",""
"22","klokkentoren","Toren t.b.v. de ophanging van een uurwerk en/of klokkenspel.","","01-09-2014",""
"23","klooster, abdij","Gebouw bedoeld voor de huisvesting en eventueel het voorzien in levensonderhoud van een geloofsgemeenschap.","","01-09-2014",""
"24","koeltoren","Torenvormig bouwsel voor het afkoelen van gassen of dampen","","01-09-2014",""
"25","koepel","Bolvormige constructie als dak van een gebouw.","","01-09-2014",""
"26","kunstijsbaan","Gebouw voorzien van een installatie waarmee een ijsvloer kan worden gelegd.","","01-09-2014",""
"27","lichttoren","Toren als drager van een ter oriëntatie dienend licht, met name langs de kust. Het lichtpatroon van een lichttoren is niet uniek t.o.v. andere lichttorens.","","01-09-2014",""
"28","luchtwachttoren","Toren vroeger gebruikt t.b.v. het bewaken van het luchtruim.","","01-09-2014",""
"29","manege","Besloten plaats tot beoefening van het paardrijden.","","01-09-2014",""
"30","markant gebouw","Gebouw dat sterk opvalt ten opzichte van zijn omgeving","","01-09-2014",""
"31","militair gebouw","Gebouw in gebruik voor militaire doeleinden.","","01-09-2014",""
"32","moskee","Bebouwing bedoeld voor islamitische geloofsuitoefening","","01-09-2014",""
"33","museum","Gebouw waarin voorwerpen van kunst of wetenschap bijeen zijn gebracht en (ten minste voor een gedeelte) voortdurend uitgestald worden.","","01-09-2014",""
"34","observatorium","Gebouw t.b.v. het doen van waarnemingen in de ruimte","","01-09-2014",""
"35","overig religieus gebouw","Bebouwing bedoeld voor geloofsuitoefening, niet zijnde een kerk, moskee en synagoge","","01-09-2014",""
"36","paleis","Gebouw met een openbare of cermoniële functie heeft voor gebruik door de koninkljke familie","","01-09-2014",""
"37","parkeerdak, parkeerdek, parkeergarage","Al dan niet open bebouwing, geheel of gedeeltelijk (het dak of een van de onderliggende etages) in gebruik als openbare voorziening voor het parkeren van motorvoertuigen.","","01-09-2014",""
"38","peilmeetstation","Installatie die informatie geeft over de landelijke/regionale waterstanden via het Monitoring Systeem Water (MSW). De installatie is voorzien van een Digitaal Niveau Meter (DNM).","","01-09-2014",""
"39","politiebureau","Gebouw waarin een kantoor of bezoeklocatie van de politie is gevestigd.","","01-09-2014",""
"40","pompstation","Installatie waarmee een vloeistof op- of doorgepompt wordt.","","01-09-2014",""
"41","postkantoor","Kantoor waar men administratieve handelingen kan verrichten ten behoeve van postverzending, giro e.d","","01-09-2014",""
"42","psychiatrisch ziekenhuis, psychiatrisch centrum","Verzorgingstehuis voor geesteszieken.","","01-09-2014",""
"43","radarpost","Plaats waar waarnemingen worden gedaan met behulp van radar, m.n. om vliegtuigen en scheepsbewegingen te observeren.","","01-09-2014",""
"44","radartoren","Toren t.b.v. radarsignalering c.q. radargeleiding.","","01-09-2014",""
"45","radiotoren, televisietoren","Toren t.b.v. het verspreiden van radio- en televisiesignalen.","","01-09-2014",""
