"Code","Waarde","Omschrijving","Inwinningscriteria","DatumVanaf","DatumTot"
"1","bank, ondiepte, plaat","Geheel of gedeeltelijk droogvallende grond (bank). / Ondiepe plaats in een vaarwater (ondiepte). / Zandbank (plaat).","","01-09-2014",""
"2","bosgebied","Met bos begroeid gebied","","01-09-2014",""
"3","duingebied","Heuvels van fijn zand, al dan niet begroeid met helmgras en struiken","","01-09-2014",""
"4","eiland","Land, omgeven door water","","01-09-2014",""
"5","geul, vaargeul","Smal, meestal diep water (geul). / Geul van voldoende diepte als vaarwater tussen ondiepten door (vaargeul).","","01-09-2014",""
"6","heidegebied","Met heide begroeid gebied","","01-09-2014",""
"7","heuvel, berg","Verhoging van het terrein (heuvel). / Min of meer op zichzelf staande sterke verheffing van het aardoppervlak (berg).","","01-09-2014",""
"8","kaap, hoek","In zee vooruitstekende landpunt (kaap). / In het water uitstekende landtong (hoek).","","01-09-2014",""
"9","polder","Door waterscheidingen begrensd stuk land of gebied waarin de waterstand kan worden beheerst door bemaling.","","01-09-2014",""
"10","streek, veld","Landstreek, gebied dat cultureel of landschappelijk een eenheid vormt (streek). / Het open land buiten steden en dorpen (veld).","","01-09-2014",""
"11","terp, wierde","Verhoging in het landschap oorspronkelijk bedoelt om de daarop gevestigde bebouwing te beschermen tegen het water","","01-09-2014",""
"12","wad","De buitendijkse gronden bij Friesland, Groningen en Noord-Duitsland die alleen bij vloed onder water komen","","01-09-2014",""
"13","watergebied","Een complex van meren en plassen","","01-09-2014",""
"14","zee","Uitgestrekt oppervlak zout water dat het grootste deel van de aarde bedekt.","","01-09-2014",""
"15","zeegat, zeearm","Plaats waar een binnenzee in een zee uitmondt (zeegat). / Lange smalle inham van een zee/ zeearm","","01-09-2014",""
"16","overig","De waarde van het objectkenmerk is niet bekend","","01-09-2014",""
