"Code","Waarde","Omschrijving","Inwinningscriteria","DatumVanaf","DatumTot"
"1","aanlegsteiger","In het water uitstekende brug of pier, breder dan 2 meter, gebruikt om personen en goederen aan wal te brengen.","","01-09-2014",""
"2","akkerland","Terrein waar landbouwproducten worden verbouwd.","","01-09-2014",""
"3","basaltblokken, steenglooiing","Dijkversteviging m.b.v. stenen, tegels, basaltblokken, stortsteen (geen asfalt of bitumen) of een golfslagbreker, stroombreker of strekdam langs de kust en in rivieren.","","01-09-2014",""
"4","bebouwd gebied","Een oppervlak, (vrij) intensief gebruikt voor bewoning en/of productie en/of verhandeling van goederen en diensten, plus bijbehorend erf, wegen en openbaar groen (m.u.v. een plantsoen of park).","","01-09-2014",""
"5","boomgaard","Terrein met hoogstammige fruitbomen.","","01-09-2014",""
"6","boomkwekerij","Terrein, overwegend in gebruik t.b.v. het opkweken van bomen (inclusief coniferen en sparren) en struiken, waarbij de hoogte van de aanplant niet van belang is.","","01-09-2014",""
"7","bos: gemengd bos","Oppervlak begroeid met een dusdanige aantal naald- en loofbomen dat de kruinen een min of meer gesloten geheel vormen of, na volgroeiing van de bomen, zullen vormen.","","01-09-2014",""
"8","bos: griend","In of aan het water gelegen terrein, begroeid met laagafgeknot wilgenhout t.b.v. de productie van rijshout.","","01-09-2014",""
"9","bos: loofbos","Oppervlak begroeid met een dusdanige aantal loofbomen dat de kruinen een min of meer gesloten geheel vormen of, na volgroeiing van de bomen, zullen vormen.","","01-09-2014",""
"10","bos: naaldbos","Oppervlak begroeid met een dusdanige aantal naaldbomen dat de kruinen een min of meer gesloten geheel vormen of, na volgroeiing van de bomen, zullen vormen.","","01-09-2014",""
"11","braakliggend","Een stuk grond dat geen functie vervuld en niet wordt onderhouden, met uitzondering van landbouwgrond.","","01-09-2014",""
"12","dodenakker","Terrein, gedeelte van een begraafplaats waar doden zijn of zullen worden begraven, niet gelegen in bos.","","01-09-2014",""
"13","dodenakker met bos","Terrein, gedeelte van een begraafplaats waar doden zijn of zullen worden begraven,.","","01-09-2014",""
"14","duin","Terrein met grondsoort zand, langs de kust als natuurlijke kustverdediging, eventueel begroeid met helmgras of lage struiken.","","01-09-2014",""
"15","fruitkwekerij","Terrein met laagstammige fruitbomen en struiken waarvan de vruchten worden geoogst (zoals: rozenbottels, bessen, frambozen, druiven, etc.).","","01-09-2014",""
"16","grasland","Terrein, overwegend begroeid met een grasachtige vegetatie.","","01-09-2014",""
"17","heide","Terrein, overwegend begroeid met heidevegetatie en wilde grassoorten.","","01-09-2014",""
"18","populieren","Terrein, volgens een regelmatig patroon beplant met populieren.","","01-09-2014",""
"19","spoorbaanlichaam","Geheel van rails, dwarsliggers e.d. waarover de trein of metro rijdt.","","01-09-2014",""
"20","zand","Terrein met grondsoort zand, van nature zonder enige begroeiing.","","01-09-2014",""
"21","overig","De waarde van het objectkenmerk is bekend, maar anders dan de genoemde waarden. Een niet nader omschreven gebruiksbestemming.","","01-09-2014",""
